"We'll email you an order confirmation with details and tracking info.","We'll email you an order confirmation with details and tracking info."
"We'll email you orders confirmation with details and tracking info.","We'll email you orders confirmation with details and tracking info."
"Wrong condition.","Wrong condition."
"You created the orders.","You created the orders."
"You don't need to select a shipping method.","You don't need to select a shipping method."
"You saved the configuration.","You saved the configuration."
"Your order # is: <span>%1</span>.","Your order # is: <span>%1</span>."
"Your order number is: %1.","Your order number is: %1."
"Zip/Postal Code","Zip/Postal Code"
"details below","details below"
of,of
